invoice_id,customer_id,date,action,outcome,remaining_amount_before,amount_recovered,remaining_amount_after,status_after,promise_date,human_decision,message_language,message_source,message_fallback_reason,message_text
INV00011,CUST0033,2026-03-01,firm_reminder,pay,641404.24,641404.24,0.0,paid,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199640, Requested 1214. Please try again in 6m8.928s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Dear Rangel-Crawford, invoice INV00011 (INR 641,404.24) ab 47 din se overdue hai, due date 2026-01-13 thi. Please jaldi payment arrange karein, ya agar koi issue hai to hamein batayein, hum help kar sakte hain. Is week ke andar response ki ummeed rahegi."
INV00012,CUST0015,2026-03-01,gentle_reminder,partial,298155.37,84000.71,214154.66,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199632, Requested 1213. Please try again in 6m5.039999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Waters-Owens, umeed hai aap theek honge. Bas ek reminder ki invoice INV00012 (INR 298,155.37) ki due date 2026-02-27 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00013,CUST0007,2026-03-01,gentle_reminder,ignore,507797.18,0.0,507797.18,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199624, Requested 700. Please try again in 2m19.968s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Mccoy PLC, umeed hai aap theek honge. Bas ek reminder ki invoice INV00013 (INR 507,797.18) ki due date 2026-01-18 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00014,CUST0035,2026-03-01,gentle_reminder,ignore,373704.59,0.0,373704.59,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199616, Requested 698. Please try again in 2m15.648s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Ware-Fuentes, hope you're doing well. Just a quick note that invoice INV00014 for INR 373,704.59 was due on 2026-02-18. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
INV00015,CUST0005,2026-03-01,gentle_reminder,pay,532550.1,532550.1,0.0,paid,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199609, Requested 1211. Please try again in 5m54.24s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Davis Group, umeed hai aap theek honge. Bas ek reminder ki invoice INV00015 (INR 532,550.10) ki due date 2026-01-15 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00016,CUST0005,2026-03-01,gentle_reminder,ignore,73443.25,0.0,73443.25,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199601, Requested 730. Please try again in 2m22.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Davis Group, umeed hai aap theek honge. Bas ek reminder ki invoice INV00016 (INR 73,443.25) ki due date 2026-02-17 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00017,CUST0017,2026-03-01,gentle_reminder,ignore,525196.84,0.0,525196.84,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199594, Requested 698. Please try again in 2m6.143999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Hale and Sons, hope you're doing well. Just a quick note that invoice INV00017 for INR 525,196.84 was due on 2026-02-25. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
INV00018,CUST0030,2026-03-01,gentle_reminder,ignore,729716.33,0.0,729716.33,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199586, Requested 731. Please try again in 2m16.944s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Kelly-Carr, umeed hai aap theek honge. Bas ek reminder ki invoice INV00018 (INR 729,716.33) ki due date 2026-02-21 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00019,CUST0019,2026-03-01,firm_reminder,ignore,170657.75,0.0,170657.75,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199578, Requested 731. Please try again in 2m13.488s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Dear Golden-Blair, invoice INV00019 (INR 170,657.75) ab 85 din se overdue hai, due date 2025-12-06 thi. Please jaldi payment arrange karein, ya agar koi issue hai to hamein batayein, hum help kar sakte hain. Is week ke andar response ki ummeed rahegi."
INV00020,CUST0039,2026-03-01,firm_reminder,promise,558916.16,0.0,558916.16,promised,2026-03-08,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199570, Requested 698. Please try again in 1m55.776s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Dear Smith PLC, invoice INV00020 (INR 558,916.16) ab 62 din se overdue hai, due date 2025-12-29 thi. Please jaldi payment arrange karein, ya agar koi issue hai to hamein batayein, hum help kar sakte hain. Is week ke andar response ki ummeed rahegi."
INV00021,CUST0040,2026-03-01,gentle_reminder,ignore,396351.47,0.0,396351.47,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199563, Requested 729. Please try again in 2m6.143999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Baker Inc, hope you're doing well. Just a quick note that invoice INV00021 for INR 396,351.47 was due on 2026-02-09. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
INV00022,CUST0007,2026-03-01,gentle_reminder,pay,571463.67,571463.67,0.0,paid,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199555, Requested 700. Please try again in 1m50.16s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Mccoy PLC, umeed hai aap theek honge. Bas ek reminder ki invoice INV00022 (INR 571,463.67) ki due date 2026-02-07 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00023,CUST0019,2026-03-01,gentle_reminder,pay,446025.06,446025.06,0.0,paid,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199546, Requested 1212. Please try again in 5m27.456s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Golden-Blair, umeed hai aap theek honge. Bas ek reminder ki invoice INV00023 (INR 446,025.06) ki due date 2026-02-21 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00024,CUST0020,2026-03-01,gentle_reminder,ignore,375292.1,0.0,375292.1,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199538, Requested 731. Please try again in 1m56.208s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Lynch-Jones, umeed hai aap theek honge. Bas ek reminder ki invoice INV00024 (INR 375,292.10) ki due date 2026-02-27 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00025,CUST0033,2026-03-01,gentle_reminder,ignore,757286.01,0.0,757286.01,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199531, Requested 701. Please try again in 1m40.224s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Rangel-Crawford, umeed hai aap theek honge. Bas ek reminder ki invoice INV00025 (INR 757,286.01) ki due date 2026-02-21 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00026,CUST0014,2026-03-01,gentle_reminder,ignore,426391.58,0.0,426391.58,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199523, Requested 1214. Please try again in 5m18.384s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Brown, Harris and Becker, umeed hai aap theek honge. Bas ek reminder ki invoice INV00026 (INR 426,391.58) ki due date 2026-02-27 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00027,CUST0024,2026-03-01,gentle_reminder,ignore,711186.8,0.0,711186.8,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199515, Requested 731. Please try again in 1m46.271999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Peterson-Bell, umeed hai aap theek honge. Bas ek reminder ki invoice INV00027 (INR 711,186.80) ki due date 2026-01-25 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00028,CUST0024,2026-03-01,gentle_reminder,ignore,139866.24,0.0,139866.24,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199508, Requested 1212. Please try again in 5m11.039999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Peterson-Bell, umeed hai aap theek honge. Bas ek reminder ki invoice INV00028 (INR 139,866.24) ki due date 2026-01-29 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00029,CUST0032,2026-03-01,gentle_reminder,promise,125455.17,0.0,125455.17,promised,2026-03-11,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199500, Requested 1210. Please try again in 5m6.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Rodgers Group, hope you're doing well. Just a quick note that invoice INV00029 for INR 125,455.17 was due on 2026-02-18. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
INV00030,CUST0023,2026-03-01,gentle_reminder,ignore,269769.86,0.0,269769.86,overdue,,,English,llm,,"Dear Duran PLC Team,

I hope you are well. This is a friendly reminder that invoice INV00030 for INR 269,769.86 was due on 2026‑02‑22 and is now 7 days overdue. Please let us know if you need any assistance or if the payment has already been processed. Thank you."
INV00031,CUST0022,2026-03-01,gentle_reminder,ignore,24201.47,0.0,24201.47,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199654, Requested 732. Please try again in 2m46.752s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Fisher-Hayden, umeed hai aap theek honge. Bas ek reminder ki invoice INV00031 (INR 24,201.47) ki due date 2026-02-15 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00032,CUST0019,2026-03-01,gentle_reminder,ignore,799052.12,0.0,799052.12,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199647, Requested 731. Please try again in 2m43.296s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Golden-Blair, umeed hai aap theek honge. Bas ek reminder ki invoice INV00032 (INR 799,052.12) ki due date 2026-02-02 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00033,CUST0038,2026-03-01,gentle_reminder,ignore,52890.46,0.0,52890.46,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199639, Requested 1211. Please try again in 6m7.2s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Hernandez Ltd, umeed hai aap theek honge. Bas ek reminder ki invoice INV00033 (INR 52,890.46) ki due date 2026-02-27 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00034,CUST0007,2026-03-01,gentle_reminder,partial,749438.06,449048.05,300390.01,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199631, Requested 700. Please try again in 2m22.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Mccoy PLC, umeed hai aap theek honge. Bas ek reminder ki invoice INV00034 (INR 749,438.06) ki due date 2026-02-28 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00035,CUST0016,2026-03-01,gentle_reminder,ignore,621949.16,0.0,621949.16,overdue,,,Hinglish,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199623, Requested 699. Please try again in 2m19.104s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Ward-Wright, umeed hai aap theek honge. Bas ek reminder ki invoice INV00035 (INR 621,949.16) ki due date 2026-02-24 thi. Agar payment already ho chuki hai to please ignore this message. Kuch bhi chahiye ho hamari taraf se to batayein. Thanks!"
INV00036,CUST0028,2026-03-01,gentle_reminder,ignore,702445.2,0.0,702445.2,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199615, Requested 701. Please try again in 2m16.512s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Lane, Maldonado and Griffin, hope you're doing well. Just a quick note that invoice INV00036 for INR 702,445.20 was due on 2026-02-13. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
INV00037,CUST0036,2026-03-01,gentle_reminder,ignore,589896.69,0.0,589896.69,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199607, Requested 700. Please try again in 2m12.624s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Ramirez, Perry and Howard, hope you're doing well. Just a quick note that invoice INV00037 for INR 589,896.69 was due on 2026-02-20. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
INV00038,CUST0029,2026-03-01,firm_reminder,ignore,239673.53,0.0,239673.53,overdue,,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199598, Requested 701. Please try again in 2m9.168s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Dear Cruz, Barnett and Johnson, invoice INV00038 for INR 239,673.53 is now 54 days past its due date of 2026-01-06. Please arrange payment at your earliest convenience, or reach out if there's an issue we can help resolve. We'd appreciate a response by end of week."
INV00039,CUST0004,2026-03-01,gentle_reminder,promise,385664.51,0.0,385664.51,promised,2026-03-12,,English,template_fallback,"Groq call failed: RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01m0mj7a8eeatat8xhdfj4psfm` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199588, Requested 732. Please try again in 2m18.24s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}","Hi Lewis, Miller and Barnes, hope you're doing well. Just a quick note that invoice INV00039 for INR 385,664.51 was due on 2026-02-14. If you've already paid, please disregard this message. Otherwise, please let us know if you need anything from our side to process this. Thanks!"
